Sona Masoori Rice	20	25	13
Toor Dahl (Red Lentils)	179	1.25	179
Black chickpeas (channa)	85	1.25	85
Maggi Noodles	1	0.5	400
PARLE KREAM BOUR	1	0.49	10
P HID SEEK BOURB	1	0.49	10
SW MASL BANA	1	1.99	10
GOP SNACK PE CHO	1	1.29	10
AD BANGA MIX	1	1.99	10
SW BHEL CUP	1	1.29	10
MAGIC MAS UPMA	1	0.89	10
KURKURE MASLLAYS CHILE LIMON	1	0.99	10
MTR navaratan korma	1	2.99	10
MTR alu muttar	1	2.99	10
MTR mutter paneer	1	2.99	10
Mixed vegetable curry	1	2.99	10
MTR palak paneer	1	2.99	10
MTR shahi paneer	1	2.99	10
MTR bhindi masala	1	2.99	10
MTR alu methi	1	2.99	10
MTR chana masala	1	2.99	10
MTR kadhi pakora	1	2.99	10
GITS paneer tikka masala	1	2.99	10
GITS bhindi masala	1	2.99	10
GITS pau bhakti	1	2.99	10
GITS paneer makhani	1	2.99	10
GITS aloo raswala	1	2.99	10
GITS veg biryani	1	2.99	10
5 Minute khana aloo mutter	1	2.99	10
5 Minute khana pao bhaji	1	2.99	10
